,dtype,missing_fraction,n_unique,mean,std,min,max
LALOWI1_20,float64,0.027545651501083256,2528,5464.334691679,14141.40272791363,0.0,236350.9719999125
lapophalf,float64,0.027545651501083256,3142,68483.44430071907,164153.9147748595,81.9999995108753,3696267.337378697
lalowihalf,float64,0.027545651501083256,3142,20660.441622864928,48784.431336933136,0.0,1139067.982203263
lakidshalf,float64,0.027545651501083256,3142,16668.6457872245,41718.02526736108,0.0,912020.1093664
laseniorshalf,float64,0.027545651501083256,3142,9148.130431876727,20213.285438477335,12.000000051738,431825.53305990953
lawhitehalf,float64,0.027545651501083256,3142,52529.40790903559,111058.88080439225,24.0000001770022,1974551.2791675671
lablackhalf,float64,0.027545651501083256,3092,7807.457458865944,28679.585780669848,0.0,561194.7179051496
laasianhalf,float64,0.027545651501083256,3100,2489.0265990370885,15003.678751309126,0.0,482167.0736020264
lanhopihalf,float64,0.027545651501083256,2532,103.39754399245165,1079.4459981651532,0.0,49650.44834422165
laaianhalf,float64,0.027545651501083256,3131,680.9347959021471,2711.0615826979188,0.0,51020.06752427807
laomultirhalf,float64,0.027545651501083256,3142,4873.219991384093,24431.991886880238,1.99999990195647,865411.4346061392
lahisphalf,float64,0.027545651501083256,3141,8675.345838723624,50131.981127516134,0.0,1603148.0920547757
lahunvhalf,float64,0.027545651501083256,3134,1503.1471951450123,3903.032368745233,0.0,83241.3002446033
lasnaphalf,float64,0.027545651501083256,3140,2930.7642128122857,6518.682163818879,0.0,107727.5047115755
lapop1,float64,0.027545651501083256,3141,39091.71287450497,64757.3875955544,0.0,903287.219431782
lalowi1,float64,0.027545651501083256,3139,11199.240121455352,17273.34749142714,0.0,260681.1595375183
lakids1,float64,0.027545651501083256,3139,9527.610982925753,16747.48860317606,0.0,250059.68279963775
laseniors1,float64,0.027545651501083256,3140,5339.468949201865,8299.019747695887,0.0,123484.31368531394
lawhite1,float64,0.027545651501083256,3140,31854.809890120738,49489.78977900033,0.0,684259.4791253469
lablack1,float64,0.027545651501083256,3071,3653.3568346569164,10988.272425362715,0.0,182643.3569954695
laasian1,float64,0.027545651501083256,3081,968.3594423187413,4320.22882134393,0.0,87967.0750594714
lanhopi1,float64,0.027545651501083256,2450,48.2293506515615,562.734024684658,0.0,24642.802814413342
laaian1,float64,0.027545651501083256,3117,456.5582121982565,2107.30616035747,0.0,49231.205736539705
laomultir1,float64,0.027545651501083256,3140,2110.3991437477334,7155.887660580566,0.0,151515.12530778215
lahisp1,float64,0.027545651501083256,3137,3609.524652690574,15784.075240003345,0.0,314202.6153854264
lahunv1,float64,0.027545651501083256,3131,662.2525064237301,1095.5265488756015,0.0,13752.40687087473
lasnap1,float64,0.027545651501083256,3137,1547.19992639584,2324.4081838715915,0.0,31499.09326948326
TractLOWI,float64,0.027545651501083256,2982,31972.523870146404,110425.54841529253,0.0,3651509.0
TractKids,float64,0.027545651501083256,2927,23608.052514322088,77098.81898534813,0.0,2402208.0
TractSeniors,float64,0.027545651501083256,2791,12816.208306810948,36462.448141983245,12.0,1065699.0
TractWhite,float64,0.027545651501083256,3082,71153.35805219605,187592.14100010408,24.0,4936599.0
TractBlack,float64,0.027545651501083256,1954,12390.007797581158,54430.177538877644,0.0,1287767.0
