,missing_fraction
v147_cihigh,0.05027932960893855
v147_rawvalue,0.05027932960893855
v147_cilow,0.05027932960893855
v005_rawvalue,0.04996896337678461
v024_race_white_cihigh,0.048727498448168836
v024_race_white_cilow,0.048727498448168836
v024_race_white,0.048727498448168836
v067_race_white_cihigh,0.04562383612662942
v067_race_white,0.04562383612662942
v067_race_white_cilow,0.04562383612662942
v001_cihigh,0.04407200496585972
v127_numerator,0.04407200496585972
v127_denominator,0.04407200496585972
v127_cilow,0.04407200496585972
v127_cihigh,0.04407200496585972
v127_rawvalue,0.04407200496585972
v001_cilow,0.04407200496585972
v001_denominator,0.04407200496585972
v001_numerator,0.04407200496585972
v001_rawvalue,0.04407200496585972
v134_cihigh,0.043761638733705775
v134_cilow,0.043761638733705775
v124_rawvalue,0.040657976412166355
v132_rawvalue,0.03879577901924271
v132_numerator,0.03879577901924271
v083_numerator,0.03786468032278088
v133_rawvalue,0.03786468032278088
v133_numerator,0.03786468032278088
v182_other_data_2,0.03786468032278088
v083_rawvalue,0.03786468032278088
v001_race_nhopi_flag,0.037243947858473
v177_rawvalue,0.03662321539416512
v177_numerator,0.03662321539416512
v156_rawvalue,0.03662321539416512
v177_denominator,0.036312849162011177
v069_cilow,0.03569211669770329
v069_cihigh,0.03569211669770329
v134_numerator,0.035071384233395404
v134_denominator,0.035071384233395404
v050_race_white,0.035071384233395404
v134_rawvalue,0.035071384233395404
v050_rawvalue,0.03382991930477964
v155_race_white,0.033209186840471756
v155_rawvalue,0.032588454376163874
v168_cihigh,0.03227808814400993
v168_cilow,0.03227808814400993
v044_cihigh,0.031036623215394164
v044_cilow,0.031036623215394164
v044_denominator,0.031036623215394164
v044_numerator,0.031036623215394164
v044_rawvalue,0.031036623215394164
v182_other_data_1,0.028864059590316574
TractNHOPI,0.02824332712600869
TractAsian,0.02824332712600869
TractBlack,0.02824332712600869
TractSNAP,0.02824332712600869
PCTGQTRS,0.02824332712600869
TractHUNV,0.02824332712600869
TractWhite,0.02824332712600869
v131_rawvalue,0.02824332712600869
TractHispanic,0.02824332712600869
TractOMultir,0.02824332712600869
TractSeniors,0.02824332712600869
TractAIAN,0.02824332712600869
v131_other_data_1,0.02824332712600869
NUMGQTRS,0.02824332712600869
TractLOWI,0.02824332712600869
TractKids,0.02824332712600869
v178_rawvalue,0.027932960893854747
PovertyRate,0.027932960893854747
LILATracts_halfAnd10,0.027622594661700806
LA1and20,0.027622594661700806
LATracts_half,0.027622594661700806
LowIncomeTracts,0.027622594661700806
v083_denominator,0.027622594661700806
LILATracts_1And20,0.027622594661700806
LATracts1,0.027622594661700806
LATracts10,0.027622594661700806
LILATracts_1And10,0.027622594661700806
v172_denominator,0.027622594661700806
LILATracts_Vehicle,0.027622594661700806
LATracts20,0.027622594661700806
LATractsVehicle_20,0.027622594661700806
HUNVFlag,0.027622594661700806
LAhalfand10,0.027622594661700806
LA1and10,0.027622594661700806
Pop2010,0.027622594661700806
GroupQuartersFlag,0.027622594661700806
OHU2010,0.027622594661700806
v171_denominator,0.027622594661700806
v171_rawvalue,0.027622594661700806
Urban,0.027622594661700806
v023_numerator,0.027312228429546864
v023_rawvalue,0.027312228429546864
v023_denominator,0.027312228429546864
v004_denominator,0.027001862197392923
v151_cihigh,0.027001862197392923
v151_cilow,0.027001862197392923
v151_denominator,0.027001862197392923
v133_denominator,0.027001862197392923
v182_rawvalue,0.027001862197392923
v004_numerator,0.027001862197392923
v182_other_data_3,0.027001862197392923
v088_denominator,0.027001862197392923
v151_numerator,0.027001862197392923
v151_rawvalue,0.027001862197392923
v088_numerator,0.027001862197392923
v154_numerator,0.0260707635009311
v154_cihigh,0.0260707635009311
v154_cilow,0.0260707635009311
v154_denominator,0.0260707635009311
v154_rawvalue,0.0260707635009311
v063_race_white,0.025760397268777158
v063_race_white_cilow,0.025760397268777158
v063_race_white_cihigh,0.025760397268777158
v082_cihigh,0.024829298572315334
v082_cilow,0.024829298572315334
v082_rawvalue,0.024829298572315334
Short sleep duration among adults,0.02451893234016139
v136_cihigh,0.02451893234016139
v136_cilow,0.02451893234016139
v085_cihigh,0.02451893234016139
v085_cilow,0.02451893234016139
v085_denominator,0.02451893234016139
v085_numerator,0.02451893234016139
Visited dentist or dental clinic in the past year among adults,0.02451893234016139
Mammography use among women aged 50-74 years,0.02451893234016139
v024_rawvalue,0.02451893234016139
v024_numerator,0.02451893234016139
v085_rawvalue,0.02451893234016139
v024_cihigh,0.02451893234016139
Colorectal cancer screening among adults aged 45–75 years,0.02451893234016139
v069_rawvalue,0.02451893234016139
v082_denominator,0.02451893234016139
v003_cihigh,0.02451893234016139
v082_numerator,0.02451893234016139
v122_rawvalue,0.02451893234016139
v003_numerator,0.02451893234016139
v003_rawvalue,0.02451893234016139
v063_rawvalue,0.02451893234016139
v003_denominator,0.02451893234016139
v063_cilow,0.02451893234016139
v063_cihigh,0.02451893234016139
All teeth lost among adults aged >=65 years,0.02451893234016139
v122_numerator,0.02451893234016139
v024_cilow,0.02451893234016139
v122_denominator,0.02451893234016139
v122_cilow,0.02451893234016139
v122_cihigh,0.02451893234016139
v003_cilow,0.02451893234016139
v058_numerator,0.024208566108007448
v056_rawvalue,0.024208566108007448
v058_rawvalue,0.024208566108007448
v137_cihigh,0.024208566108007448
v059_numerator,0.024208566108007448
v057_rawvalue,0.024208566108007448
v059_denominator,0.024208566108007448
v058_denominator,0.024208566108007448
v053_denominator,0.024208566108007448
v053_numerator,0.024208566108007448
v053_rawvalue,0.024208566108007448
v057_denominator,0.024208566108007448
v052_denominator,0.024208566108007448
v052_numerator,0.024208566108007448
v052_rawvalue,0.024208566108007448
v137_cilow,0.024208566108007448
v137_denominator,0.024208566108007448
v051_rawvalue,0.024208566108007448
v057_numerator,0.024208566108007448
v180_cilow,0.024208566108007448
v059_rawvalue,0.024208566108007448
v080_denominator,0.024208566108007448
v056_denominator,0.024208566108007448
v069_denominator,0.024208566108007448
v069_numerator,0.024208566108007448
v080_rawvalue,0.024208566108007448
v080_numerator,0.024208566108007448
v081_denominator,0.024208566108007448
v081_numerator,0.024208566108007448
v081_rawvalue,0.024208566108007448
v168_rawvalue,0.024208566108007448
v168_numerator,0.024208566108007448
v055_denominator,0.024208566108007448
v055_numerator,0.024208566108007448
v055_rawvalue,0.024208566108007448
v166_cihigh,0.024208566108007448
v180_cihigh,0.024208566108007448
v168_denominator,0.024208566108007448
v054_rawvalue,0.024208566108007448
v054_numerator,0.024208566108007448
v054_denominator,0.024208566108007448
v166_cilow,0.024208566108007448
v126_rawvalue,0.024208566108007448
v126_numerator,0.024208566108007448
v126_denominator,0.024208566108007448
v166_denominator,0.024208566108007448
v166_numerator,0.024208566108007448
v180_rawvalue,0.024208566108007448
v166_rawvalue,0.024208566108007448
v056_numerator,0.024208566108007448
v131_denominator,0.024208566108007448
v060_cihigh,0.024208566108007448
v067_cihigh,0.024208566108007448
v143_cilow,0.024208566108007448
county_clustered,0.024208566108007448
year,0.024208566108007448
county,0.024208566108007448
state,0.024208566108007448
v049_cilow,0.024208566108007448
v049_rawvalue,0.024208566108007448
v143_cihigh,0.024208566108007448
v143_rawvalue,0.024208566108007448
v067_cilow,0.024208566108007448
v042_rawvalue,0.024208566108007448
fipscode,0.024208566108007448
countycode,0.024208566108007448
statecode,0.024208566108007448
